path,bytes,lines
src/components/stats/LeaderboardRow.tsx,1278,51
src/components/service-history/ServiceRecordsEmpty.tsx,597,17
src/components/service-history/AddServiceForm.tsx,4034,142
src/components/service-history/EmptyState.tsx,497,14
src/components/service-history/ServiceHistoryDisplay.tsx,3354,107
src/components/service-history/UploadStatusButton.tsx,1265,46
src/components/service-history/FileDropzone.tsx,1876,62
src/components/service-history/index.ts,278,6
src/components/service-history/ServiceRecordsList.tsx,2868,91
src/components/service-history/ServiceHistoryUploader.tsx,6026,209
src/components/service-history/ServiceDetailsForm.tsx,1772,66
src/components/effects/ConfettiEffect.tsx,608,31
src/components/layout/Footer.tsx,2019,47
src/components/layout/seo/index.tsx,1362,42
src/components/layout/Navbar.tsx,3769,103
src/components/layout/MobileMenu.tsx,1988,63
src/components/layout/index.ts,240,6
src/components/layout/Header.tsx,3464,101
src/components/layout/ReactNodeWrapper.tsx,215,11
src/components/enriched/PremiumEnrichmentGate.tsx,4086,111
src/components/enriched/EnrichedDataCard.tsx,2542,88
src/components/premium/PremiumUpgradeCTA.tsx,2903,95
src/components/premium/form/StepProgressIndicator.tsx,2649,94
src/components/premium/form/FormSteps.tsx,337,15
src/components/premium/form/PremiumValuationForm.tsx,5554,177
src/components/premium/form/steps/MileageStep.tsx,3209,109
src/components/premium/form/steps/PredictionReviewStep.tsx,8245,246
src/components/premium/form/steps/features/FeaturesGrid.tsx,2036,64
src/components/premium/form/steps/features/FeaturesTotalValue.tsx,510,18
src/components/premium/form/steps/prediction-review/VehicleSummaryCard.tsx,1241,40
src/components/premium/form/steps/prediction-review/FeaturesDisplay.tsx,855,29
src/components/premium/form/steps/prediction-review/GetValuationButton.tsx,715,34
src/components/premium/form/steps/FeatureSelectionStep.tsx,1724,57
src/components/premium/form/steps/accident-history/AccidentHistoryForm.tsx,3747,113
src/components/premium/form/steps/VehicleDetailsStep.tsx,4016,113
src/components/premium/form/steps/StateSelect.tsx,2786,91
src/components/premium/form/steps/ConditionStep.tsx,1514,55
src/components/premium/form/steps/VehicleIdentificationStep.tsx,6725,200
src/components/premium/form/steps/MaintenanceHistoryStep.tsx,3618,114
src/components/premium/form/steps/DrivingBehaviorStep.tsx,3280,95
src/components/premium/form/steps/FuelTypeStep.tsx,4572,156
src/components/premium/form/steps/AccidentHistoryStep.tsx,2576,81
src/components/premium/form/steps/review/ReviewActions.tsx,957,35
src/components/premium/form/steps/review/VehicleDetailsSummary.tsx,1553,47
src/components/premium/form/steps/review/FeaturesSummary.tsx,1189,36
src/components/premium/form/steps/review/DrivingBehaviorSummary.tsx,1612,46
src/components/premium/form/steps/review/VehicleSummary.tsx,1459,43
src/components/premium/form/steps/review/PhotosSummary.tsx,1536,45
src/components/premium/form/steps/vehicle-details/AccidentHistorySection.tsx,2359,68
src/components/premium/form/steps/vehicle-details/VehicleDetailsFields.tsx,2774,82
src/components/premium/form/ProgressIndicator.tsx,1979,64
src/components/premium/form/FormStepLayout.tsx,2256,86
src/components/premium/form/FormStepNavigation.tsx,2183,67
src/components/premium/form/initialization/FormInitializer.tsx,1434,56
src/components/premium/form/AccuracyMeter.tsx,3106,97
src/components/premium/form/vehicle-details/TransmissionSelect.tsx,3114,111
